Run,Best Epoch,ROUGE-1,ROUGE-2,ROUGE-L,ROUGE-Lsum
run_16,6,59.2907,21.5607,43.8685,56.7470
run_15,5,59.0536,21.3107,43.7709,56.5721
run_14,12,59.0107,21.2102,43.7100,56.5708
run_18,2,58.8400,21.2575,43.6621,56.3639
run_17,2,58.9051,21.1088,43.5936,56.3410
run_19,2,59.1498,21.0927,43.5572,56.4972
run_21,1,58.7078,21.0319,43.4291,56.2261
run_22,2,58.9073,21.2235,43.3922,56.3289
run_23,1,58.9466,21.1475,43.3879,56.2440
run_20,3,58.9449,21.0450,43.3472,56.4150
run_24,3,59.0117,21.0873,43.3028,56.3725
run_25,2,58.7201,20.9344,43.2298,56.2924
run_13,17,57.7174,19.8626,42.2024,55.3184
run_12,20,56.9159,18.9741,41.2502,54.5903
run_11,20,50.4432,13.6862,34.5675,48.2116
run_10,20,14.6386,1.8657,12.9002,14.4320
run_6,1,8.7739,0.3176,8.4747,8.7707
run_9,2,6.6027,0.2029,6.2864,6.5076
run_8,1,6.2660,0.0103,6.2593,6.2776
run_3,5,6.3913,0.2262,6.1736,6.3192
run_5,4,6.3541,0.0533,5.7895,6.0188
run_4,1,6.0248,0.0745,5.5919,5.8172
run_2,1,5.0357,0.3082,4.7673,5.0075
run_1,1,3.2215,0.0169,3.2223,3.2299
run_7,7,2.7934,0.0037,2.7906,2.7892
